descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Autoadesivo para recados",4399181,200,PERDEU,PCT,650,3.25
"Barbante na cor crua 100%algodão, nº 6. 1kg",4399182,120,PERDEU,UND,2508,20.9
"Cartolina tamanho ofício.",4399183,1000,VENCEU,PCT,5700,5.7
"Cola bastão 40GR",4399184,700,DESCLASSIFICADO,UND,1638,2.34
"Cola instantânea",4399185,100,DESCLASSIFICADO,CX,5850,58.5
"Envelope papel BRANCO 100 unidades",4399186,5000,DESCLASSIFICADO,PCT,39000,7.8
"envelope papel pardo tamanho 34 x 24 cm",4399187,10000,DESCLASSIFICADO,UND,2200,0.22
"Estilete recarregável.",4399188,300,NAO_COTOU,UND,0,0
"Fita adesiva, tipo Durex",4399189,2000,DESCLASSIFICADO,UND,2080,1.04
"FITA CORRETIVO 5,5MM X 6M",4399190,2000,DESCLASSIFICADO,UND,6200,3.1
"Fita dupla face fixação FORTE",4399191,500,VENCEU,UND,2245,4.49
"GRAMPEADOR papel 75 g/m2",4399192,250,DESCLASSIFICADO,UND,15600,62.4
"GRAMPO PARA GRAMPEADOR.",4399193,500,NAO_COTOU,UND,0,0
"Livro Ata pautado com 100 folhas.",4399194,600,DESCLASSIFICADO,UND,5460,9.1
"Papel Off-Set, alcalino, formato A-4",4399195,200,VENCEU,CX,27800,139
"Papel Off-Set, alcalino, formato A-4",4399196,600,PERDEU,CX,83400,139
"PASTA com abertura em L",4399197,600,DESCLASSIFICADO,PCT,4680,7.8
"Pasta plastica de arquivo, com 20 mm soft",4399198,600,PERDEU,UND,1560,2.6
"Pasta plastica de arquivo, com 30 mm soft",4399199,600,DESCLASSIFICADO,UND,1872,3.12
"Perfurador 2 furos para ate 20 folhas.",4399200,250,DESCLASSIFICADO,UND,3825,15.3
"Pistola para Artesanato",4399201,150,DESCLASSIFICADO,UND,2520,16.8
"Plástico autoadesivo de fácil aplicação",4399202,200,DESCLASSIFICADO,UND,11700,58.5
"Refil cola quente grosso",4399203,8000,DESCLASSIFICADO,UND,7280,0.91
"Tesoura de picotar",4399204,140,DESCLASSIFICADO,UND,6916,49.4
