descricao,id,quantidade,situacao,unidadeMedida,valorTotal,valorUnitario
"Tênis Unissex - TÊNIS ESCOLAR INFANTIL-",0,2500,PERDEU," ",232250,92.9
"Tênis Unissex - TÊNIS ESCOLAR FUNDAMENTAL",0,19000,PERDEU," ",1993100,104.9
"Meias tipo colegial unissex",0,46056,PERDEU," ",455493.84,9.89
"Camisetas Unissex PROJETOS DIVERSOS -cores e estampas  a serem definidas",0,10000,PERDEU," ",318000,31.8
"Camisas polos",0,2000,PERDEU," ",77600,38.8
"Bermuda feminina",0,3409,PERDEU," ",125451.2,36.8
"Bermuda Masculina",0,15920,PERDEU," ",617696,38.8
"Short saia feminina",0,11665,PERDEU," ",487597,41.8
"Calça masculina",0,15920,PERDEU," ",713216,44.8
"CALÇA FEMININA",0,15074,PERDEU," ",675315.2,44.8
JAQUETA,0,23028,PERDEU," ",1515242.4,65.8
"Camiseta manga curta unissex-uniforme",0,69083,PERDEU," ",2196839.4,31.8
